,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0655,https://api.spotify.com/v1/audio-analysis/2F8TzuTrB9w3iWzC5alU0c,0.555,185280,0.731,2F8TzuTrB9w3iWzC5alU0c,0.0437,7,0.079,-6.094,1,0.0338,124.966,4,https://api.spotify.com/v1/tracks/2F8TzuTrB9w3iWzC5alU0c,audio_features,spotify:track:2F8TzuTrB9w3iWzC5alU0c,0.109
1,0.2,https://api.spotify.com/v1/audio-analysis/0WkcbbraCGJvOsStOfYvow,0.665,221573,0.677,0WkcbbraCGJvOsStOfYvow,0.00881,6,0.102,-5.062,1,0.0284,121.972,4,https://api.spotify.com/v1/tracks/0WkcbbraCGJvOsStOfYvow,audio_features,spotify:track:0WkcbbraCGJvOsStOfYvow,0.231
2,0.0433,https://api.spotify.com/v1/audio-analysis/2EfH5hpprIuCN4eiiDTcET,0.908,322013,0.443,2EfH5hpprIuCN4eiiDTcET,0.599,6,0.0533,-9.546,1,0.0875,122.994,4,https://api.spotify.com/v1/tracks/2EfH5hpprIuCN4eiiDTcET,audio_features,spotify:track:2EfH5hpprIuCN4eiiDTcET,0.529
3,0.000308,https://api.spotify.com/v1/audio-analysis/1A6sVuun3GjnRutMi5ORQJ,0.483,228733,0.737,1A6sVuun3GjnRutMi5ORQJ,0.357,6,0.0854,-6.689,1,0.0326,123.915,4,https://api.spotify.com/v1/tracks/1A6sVuun3GjnRutMi5ORQJ,audio_features,spotify:track:1A6sVuun3GjnRutMi5ORQJ,0.141
4,0.0143,https://api.spotify.com/v1/audio-analysis/5Ruoe4vUZ61eVvEgWcpsYl,0.762,257332,0.896,5Ruoe4vUZ61eVvEgWcpsYl,0.0,8,0.163,-3.974,0,0.0612,125.014,4,https://api.spotify.com/v1/tracks/5Ruoe4vUZ61eVvEgWcpsYl,audio_features,spotify:track:5Ruoe4vUZ61eVvEgWcpsYl,0.818
5,0.0422,https://api.spotify.com/v1/audio-analysis/2F7T0Cm1iOkqptcciin1Tk,0.787,191000,0.73,2F7T0Cm1iOkqptcciin1Tk,0.0318,10,0.0635,-7.177,1,0.0334,120.013,4,https://api.spotify.com/v1/tracks/2F7T0Cm1iOkqptcciin1Tk,audio_features,spotify:track:2F7T0Cm1iOkqptcciin1Tk,0.398
6,0.221,https://api.spotify.com/v1/audio-analysis/6eRd45fvX9mQG6AyHQGCKG,0.822,197853,0.661,6eRd45fvX9mQG6AyHQGCKG,5.9e-05,1,0.0554,-6.928,0,0.0486,109.01,4,https://api.spotify.com/v1/tracks/6eRd45fvX9mQG6AyHQGCKG,audio_features,spotify:track:6eRd45fvX9mQG6AyHQGCKG,0.745
7,0.11,https://api.spotify.com/v1/audio-analysis/29MvtOnoAULKQfEKAPCbja,0.78,237397,0.585,29MvtOnoAULKQfEKAPCbja,0.314,2,0.083,-8.766,0,0.0389,90.024,4,https://api.spotify.com/v1/tracks/29MvtOnoAULKQfEKAPCbja,audio_features,spotify:track:29MvtOnoAULKQfEKAPCbja,0.707
8,0.149,https://api.spotify.com/v1/audio-analysis/0xQ1lhtEyhkykvzcMgeNfF,0.683,262857,0.648,0xQ1lhtEyhkykvzcMgeNfF,0.141,10,0.108,-4.087,1,0.0287,125.981,4,https://api.spotify.com/v1/tracks/0xQ1lhtEyhkykvzcMgeNfF,audio_features,spotify:track:0xQ1lhtEyhkykvzcMgeNfF,0.386
9,0.0619,https://api.spotify.com/v1/audio-analysis/5criuUMt1jhItDpMf2JcXA,0.678,318107,0.723,5criuUMt1jhItDpMf2JcXA,0.721,11,0.0736,-8.42,1,0.042,119.995,4,https://api.spotify.com/v1/tracks/5criuUMt1jhItDpMf2JcXA,audio_features,spotify:track:5criuUMt1jhItDpMf2JcXA,0.375
10,0.0765,https://api.spotify.com/v1/audio-analysis/14CsUVcoKztExH6aSgfrfb,0.621,269404,0.616,14CsUVcoKztExH6aSgfrfb,0.0,6,0.131,-7.211,0,0.15,122.93,4,https://api.spotify.com/v1/tracks/14CsUVcoKztExH6aSgfrfb,audio_features,spotify:track:14CsUVcoKztExH6aSgfrfb,0.512
11,0.000784,https://api.spotify.com/v1/audio-analysis/6oCIHGoyWWpz3v8saBT2bd,0.802,218771,0.608,6oCIHGoyWWpz3v8saBT2bd,0.368,11,0.0841,-4.626,1,0.0435,117.958,4,https://api.spotify.com/v1/tracks/6oCIHGoyWWpz3v8saBT2bd,audio_features,spotify:track:6oCIHGoyWWpz3v8saBT2bd,0.145
12,0.0255,https://api.spotify.com/v1/audio-analysis/76CLzDknaYJGrBakIZaPp7,0.787,428733,0.793,76CLzDknaYJGrBakIZaPp7,0.335,11,0.173,-7.162,0,0.0628,121.996,4,https://api.spotify.com/v1/tracks/76CLzDknaYJGrBakIZaPp7,audio_features,spotify:track:76CLzDknaYJGrBakIZaPp7,0.789
13,0.086,https://api.spotify.com/v1/audio-analysis/1hUX02QNg78RvdPqN7yX3t,0.786,180992,0.646,1hUX02QNg78RvdPqN7yX3t,0.0173,9,0.095,-7.06,0,0.0393,120.978,4,https://api.spotify.com/v1/tracks/1hUX02QNg78RvdPqN7yX3t,audio_features,spotify:track:1hUX02QNg78RvdPqN7yX3t,0.315
14,0.0107,https://api.spotify.com/v1/audio-analysis/6rNSL48uVCel3SXYRyuTtd,0.768,323560,0.253,6rNSL48uVCel3SXYRyuTtd,0.499,9,0.0975,-15.153,1,0.0558,124.004,4,https://api.spotify.com/v1/tracks/6rNSL48uVCel3SXYRyuTtd,audio_features,spotify:track:6rNSL48uVCel3SXYRyuTtd,0.758
15,0.0584,https://api.spotify.com/v1/audio-analysis/0NCCwJOiZZkJCKnaua2O7z,0.668,220488,0.842,0NCCwJOiZZkJCKnaua2O7z,0.681,0,0.0862,-7.576,1,0.0464,123.009,4,https://api.spotify.com/v1/tracks/0NCCwJOiZZkJCKnaua2O7z,audio_features,spotify:track:0NCCwJOiZZkJCKnaua2O7z,0.655
16,0.00177,https://api.spotify.com/v1/audio-analysis/7qaa5q7z53J2au70zl84fn,0.793,374125,0.652,7qaa5q7z53J2au70zl84fn,0.154,11,0.0252,-5.678,1,0.0446,120.02,4,https://api.spotify.com/v1/tracks/7qaa5q7z53J2au70zl84fn,audio_features,spotify:track:7qaa5q7z53J2au70zl84fn,0.788
17,0.0175,https://api.spotify.com/v1/audio-analysis/5gJuYEQXBOgBeRmjW6ZP0W,0.926,410676,0.912,5gJuYEQXBOgBeRmjW6ZP0W,0.652,8,0.207,-6.029,1,0.18,122.009,4,https://api.spotify.com/v1/tracks/5gJuYEQXBOgBeRmjW6ZP0W,audio_features,spotify:track:5gJuYEQXBOgBeRmjW6ZP0W,0.873
